"","b_rationalsupport","b_simplicity"
"1",25.5034355527746,39.2604666320696
"2",24.3203730357924,33.9360158422105
"3",23.7433821794598,35.0554638794036
"4",24.4400365453816,27.9124458078911
"5",24.5179302800386,39.8899070174359
"6",23.1585057544682,20.6086201551187
"7",25.5839672764912,42.8819810922762
"8",25.5739457271233,36.6558784355086
"9",25.7668901042009,35.4961784371655
"10",23.5037027857222,36.654995340836
"11",24.0294931039146,32.9013458719772
"12",24.0879749861273,30.5474755200726
"13",24.2544155017491,35.3226629553683
"14",24.3796181535655,34.2533247149069
"15",24.2783750617346,33.534755494825
"16",23.8785889035238,30.4955813759868
"17",23.8602547159635,27.8657137440193
"18",25.7907725709459,31.9954615043913
"19",25.0937904649263,35.1542846200797
"20",23.3281427888386,47.9705308016501
"21",24.2934730793095,26.0172682450449
"22",24.0069749845478,39.0292003010653
"23",22.514192438259,33.4193458599819
"24",24.16918512219,29.4877902940162
"25",24.8315396511128,33.3876125338366
"26",23.1138212833823,33.5227003055963
"27",24.3859211754192,35.2425011682088
"28",25.2809785120908,34.0219073346984
"29",23.6378823423413,26.5350589091839
"30",24.4537589751841,39.5523786854355
"31",24.5570241081174,41.2429291628769
"32",23.3443038202814,32.0733789143601
"33",24.3959938967167,37.3823015939721
"34",24.8275410633525,31.1400266787523
"35",23.5168079761649,33.3500417919476
"36",24.9179045791628,31.7621331466901
"37",24.1917040268727,42.0374547520998
"38",23.9667316258425,23.4925732092453
"39",24.8563085966585,46.567031967848
"40",25.14902235484,54.605568926011
"41",23.4621602114638,37.2617599287522
"42",24.4089766502861,35.9259696882865
"43",24.7094485905111,29.9958318645322
"44",23.7030000447316,33.9023661623693
"45",24.1096597136962,30.6158507081241
"46",23.889765384438,42.7227900263204
"47",24.7413000221596,27.2666134299164
"48",24.0855215536682,40.6867548419161
"49",23.3783486953523,36.5088904256381
"50",25.1302273093541,30.677307704863
"51",24.5155293717996,39.4210834385754
"52",24.467415795788,24.1494834909376
"53",24.2997707614774,34.0715280158161
"54",24.0807943797162,32.90615012864
"55",24.1634711066134,35.3681436812539
"56",24.4468587580791,32.7682673904032
"57",24.6732522548426,34.5207032723559
"58",24.3681110627786,41.6777898987732
"59",23.3030416266576,32.7144190838676
"60",24.5602361959016,22.0677253369877
"61",24.6014948262841,45.0908941172231
"62",24.1145391600712,25.3153518284446
"63",24.174739744534,42.3770329255548
"64",24.5123841580667,34.6079846186994
"65",24.6431826496621,41.4656990094816
"66",24.757356702278,15.385606695588
"67",23.8043130819838,38.8867264170144
"68",24.0830569344865,26.7387199485861
"69",24.4721780607415,35.5868521869462
"70",24.2860874582936,42.0998844781864
"71",24.4281218283678,33.8519420493004
"72",23.5291986055069,32.4485303446788
"73",24.6803331985164,28.9124531184988
"74",24.1014951591796,20.0918031115907
"75",23.8945094825856,47.5372287975197
"76",23.5087940941986,34.5837833267296
"77",24.8655076056418,34.5334105947983
"78",23.0960785837121,35.7859424000285
"79",24.7261838536056,31.7411590157798
"80",24.7022945460892,31.9010093927134
"81",23.8607493672498,32.0909886198942
"82",24.8485536676512,34.3040730420894
"83",23.3799819725309,24.6360489810923
"84",24.357770308417,30.9847384258332
"85",23.8414364049417,37.9001358281906
"86",23.8924066973652,38.7181020632622
"87",23.6990740841311,26.5060957722112
"88",24.6855449867939,35.5362832091508
"89",24.9357660447767,21.7162612499259
"90",25.2073905969405,28.4761278229153
"91",25.2804386000417,33.5784749218047
"92",24.0177815138506,32.2766495132475
"93",24.5151770057515,32.1454156820662
"94",23.623607658804,34.6581048698685
"95",24.837691276791,27.5660476498914
"96",23.3590710748478,40.1538183067181
"97",24.899248998696,28.1494688714381
"98",25.1022384289319,37.0637542539666
"99",24.6699736947939,24.6681991453401
"100",24.4393605679035,42.704953780454
"101",23.0386020975029,47.4255135609197
"102",25.5450100684083,23.7256369665226
"103",24.4359422807083,36.6621634921293
"104",22.9546893797588,9.12801785978787
"105",24.725651367932,37.9514508470726
"106",24.0413317072208,26.160083165
"107",24.2157895409958,40.3672808445137
"108",24.3025878464036,39.6355093408466
"109",24.7174148759431,28.4367491043109
"110",23.5748690106446,36.7818596724425
"111",23.8602324101597,34.5017581127235
"112",24.8288335924956,33.2530905942906
"113",23.9433437648947,32.1386400125686
"114",24.8699079571578,29.9838418649332
"115",25.6574985334449,31.1648831619885
"116",22.8895538742384,30.8948026012247
"117",25.1319161374238,32.6075748441182
"118",25.1938719276133,43.7501293896946
"119",24.7408941338314,19.9764591342948
"120",24.4692358623782,48.786785334315
"121",24.8316577766564,30.1072876529538
"122",23.5606388912518,42.4769276271206
"123",24.3998716209562,41.6236595236408
"124",24.3626904259348,30.1953586772237
"125",24.9298625942385,33.0920250091277
"126",23.566654962104,35.04551553338
"127",23.6387956355785,35.175051014199
"128",21.9749318848278,35.1961566520014
"129",25.3957405051326,26.9360626441696
"130",23.0513115017123,36.334390334335
"131",23.9129175188017,21.4492273566047
"132",23.5926033540412,45.0928558962825
"133",24.5767777305116,30.3528974363575
"134",26.036053227982,39.9738269837892
"135",22.9953905598309,27.2594339733558
"136",24.9204565531814,37.6521088207549
"137",24.5380113973737,39.6886176270804
"138",23.4286576227939,24.8263362514931
"139",24.6729168004082,39.6842272974217
"140",23.8601806629113,28.3837509114567
"141",24.0782764193474,34.1071589797197
"142",23.9994725177093,38.6396476160695
"143",25.0201981621076,36.9508404870816
"144",23.4187157441703,40.6032617319874
"145",25.5465325866562,42.2112912723642
"146",23.7650402115413,24.6866860995177
"147",23.8462322381669,17.3967483880618
