"","b_rationalsupport","b_simplicity"
"1",18.9076408749418,36.8448002584825
"2",18.4117769878616,39.1146650989824
"3",19.1494669205409,20.6261967848591
"4",18.4434193002954,32.6371310822513
"5",19.3077892815994,15.7088488694889
"6",18.864085097239,25.6120492101297
"7",17.1151215924091,35.3254060444547
"8",19.1489346545893,17.7254744826333
"9",18.0560820024313,17.2227755659618
"10",18.8555916296724,30.9996519216432
"11",19.4098872796685,33.2407829980752
"12",17.6970734239289,16.9547211860371
"13",19.3341776051562,13.1009439162317
"14",17.8477509265338,43.1196886596682
"15",17.9247121431583,10.142857014837
"16",18.6791698992691,40.0664944654678
"17",16.9023957068085,33.869029839663
"18",19.5594426813447,25.3647647346357
"19",18.0258084337499,36.6913937492002
"20",19.2606664478133,22.2459586638909
"21",19.1686227718875,39.6162283036559
"22",19.6151871997127,10.5041869438559
"23",18.8107987091469,42.4479711114953
"24",18.5665338842637,47.5457187898945
"25",18.6130443321913,39.1706064518297
"26",15.9584482543356,16.7979998102873
"27",18.7321881837694,33.4857901088569
"28",18.8381911596821,27.8314698421405
"29",19.9508397552511,22.6375402299481
"30",18.8446161988136,25.637014554954
"31",18.9199287610319,27.0393756647027
"32",18.5136792621675,25.1087069340447
"33",18.5283761188574,27.7895466308105
"34",18.7135954090985,26.3423784502286
"35",17.7016006246932,24.0018042312393
"36",19.4003838967893,25.3155852024355
"37",17.718414725759,30.8035138558511
"38",18.8504790986484,39.4410184595473
"39",19.8177830785552,30.3562908614591
"40",18.5245281800222,23.9458632078091
"41",18.9898055491899,21.6946749926568
"42",18.3307602414116,30.4354297673846
"43",18.8649068069021,32.3524272807446
"44",19.7497170596671,29.2880162040024
"45",18.8171445610015,33.5138273001653
"46",17.918312231012,28.5849605801392
"47",20.6693358721521,9.84314121624367
"48",16.827557059847,31.5518258358001
"49",19.1013397805776,21.285449988393
"50",19.4870876794409,43.6704700169993
"51",16.9166037711401,11.5247021410835
"52",16.4355324929856,10.0649567922487
"53",19.9336525243589,37.8076208792481
"54",20.222246804615,33.2547580858204
"55",17.169319986041,25.0070579211193
"56",21.4155195274247,31.4620075319609
"57",20.8229300657991,29.6098294910046
"58",17.9809741037995,23.3656725738041
"59",19.6503245801447,33.3519445698083
"60",17.8160644769014,18.9242425776518
"61",19.6104561339127,33.023265389872
"62",19.9433299374696,12.8479833756197
"63",18.3315642730921,36.1147248707343
"64",17.2985599223803,19.6702308840586
"65",17.5503388195777,18.3191879880495
"66",18.2957752147767,17.230361457987
"67",18.0184005593952,33.2084672732871
"68",17.563880262148,25.200742868881
"69",18.4190384384889,31.2539665926318
"70",19.2499474056161,17.4093107181892
"71",17.7796631781753,38.2001647178236
"72",19.287524667333,18.9219358488446
"73",16.8588784530286,26.6743178844492
"74",18.6886770628818,35.8260151833442
"75",19.4884961684774,16.9131177605909
"76",19.6922260236702,24.5638191023471
"77",19.3771511839914,26.6973181807389
"78",18.5193954112967,13.6075787139313
"79",18.416493450013,41.0297375547983
"80",18.212397233227,38.3464276010617
"81",18.3530200217665,13.5273623793989
"82",18.4597326846482,40.3763902746684
"83",18.3790836829793,26.1895867692444
"84",19.2670385094558,29.9480374126357
"85",17.5391041582537,23.5458255707838
"86",19.3476139057093,25.5388425234718
"87",18.7048647568533,31.8422104512143
"88",18.0877664479796,33.8465524768341
"89",18.7588404837763,20.2957044377059
"90",17.0576899658538,24.6878957344835
"91",19.0726227056687,20.1905418783593
"92",19.0287167631627,36.7786749398891
"93",18.7314245266186,20.7399060369561
"94",17.8074878051722,30.1889399913155
"95",19.8067824217571,15.1935251870326
"96",17.0740618343481,36.0650593849865
"97",19.4140137947178,25.1663065280996
"98",19.3879421720235,23.6178039030322
"99",17.9891917059138,27.1838521812883
"100",20.9054551763587,21.3642005198869
"101",19.5588549256197,29.6158461383957
"102",19.273306419677,20.4177496280068
"103",18.2050367066557,33.4593620864874
"104",16.8793145792705,19.1199303431131
"105",17.0913423448214,40.4085422627858
"106",20.6338062864823,26.9974572434807
"107",19.4214832941509,29.478082480746
"108",18.0164112769125,20.4041457204352
"109",20.4059970445994,32.5435424213566
"110",21.1486126263353,33.456906075103
"111",17.6228620783738,20.5082234664112
"112",18.4810350469534,23.1433176067837
"113",18.4300074453177,27.9925032254647
"114",18.0929680076349,24.7150407923634
"115",18.3387567766068,48.3328080123312
"116",19.5220350377929,11.9742754914842
"117",17.5736462580331,37.6626600142949
"118",18.203730165774,14.655460368725
"119",17.3465566500528,12.0259716000401
"120",17.971385324605,38.47667489811
"121",17.4247778817256,15.1617958045712
